[2023-10-19 10:44:05.654] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:44:39.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:44:43.650] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 10.000000 seconds
[2023-10-19 10:44:49.650] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:44:49.659] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:44:53.471] WARNING config-sentinel  sentinel.config-sentinel	Timeout getting config, please check your setup. Will exit and restart: Timed out while subscribing to 'cloud.config.sentinel', configid 'hosts/vespa-container'
[2023-10-19 10:44:53.476] INFO    config-sentinel  runserver	will restart in 0 seconds
[2023-10-19 10:45:09.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 15000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:45:13.524] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 6.000000 seconds
[2023-10-19 10:45:33.653] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:45:33.661] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:45:45.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:45:49.562] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 7.000000 seconds
[2023-10-19 10:46:17.657] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:46:17.664] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:46:22.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:46:26.604] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 8.000000 seconds
[2023-10-19 10:47:00.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:47:01.666] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:47:01.673] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:47:04.635] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 9.000000 seconds
[2023-10-19 10:47:39.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:47:43.679] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 10.000000 seconds
[2023-10-19 10:47:45.672] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:47:45.679] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:47:53.499] WARNING config-sentinel  sentinel.config-sentinel	Timeout getting config, please check your setup. Will exit and restart: Timed out while subscribing to 'cloud.config.sentinel', configid 'hosts/vespa-container'
[2023-10-19 10:47:53.503] INFO    config-sentinel  runserver	will restart in 0 seconds
[2023-10-19 10:48:09.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 15000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:48:13.547] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 6.000000 seconds
[2023-10-19 10:48:29.674] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:48:29.681] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:48:45.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:48:49.594] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 7.000000 seconds
[2023-10-19 10:49:13.684] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:49:13.691] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:49:22.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:49:26.626] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 8.000000 seconds
[2023-10-19 10:49:57.688] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:49:57.695] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:50:00.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:50:04.671] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 9.000000 seconds
[2023-10-19 10:50:39.316] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.DelayedResponseHandler	Timed out (timeout 25000) getting config name=cloud.config.sentinel,configId=hosts/vespa-container, will retry
[2023-10-19 10:50:41.691] INFO    configproxy      configproxy.com.yahoo.vespa.config.proxy.RpcConfigSourceClient	Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container,aa9115ebf63cfc6721f75ada21d7cdfa' failed, closing subscriber: Subscribe for 'name=cloud.config.sentinel,configId=hosts/vespa-container' timed out (timeout was 44000 ms): name=cloud.config.sentinel,configId=hosts/vespa-container, Current generation: 0, Generation changed: false, Config changed: false
[2023-10-19 10:50:41.698] INFO    configproxy      configproxy.com.yahoo.config.subscription.impl.JRTConfigRequester	Request failed: Failed request (No application exists) from Connection { Socket[addr=/172.17.0.2,port=55530,localport=19070] }\nConnection spec: tcp/vespa-container:19070
[2023-10-19 10:50:43.706] INFO    config-sentinel  sentinel.config.frt.frtconfigagent	No response / error from config server. This is normal before an application package is deployed. (key: name=cloud.config.sentinel,configId=hosts/vespa-container) (errcode=103, validresponse:0), trying again in 10.000000 seconds
[2023-10-19 10:50:53.527] WARNING config-sentinel  sentinel.config-sentinel	Timeout getting config, please check your setup. Will exit and restart: Timed out while subscribing to 'cloud.config.sentinel', configid 'hosts/vespa-container'
[2023-10-19 10:50:53.531] INFO    config-sentinel  runserver	will restart in 0 seconds
